FCGBP	PCDHAC2	NaN
ATRX	MYO16	NaN
ATRX	FCGBP	Infinity
MYO16	ZNF142	0.0625
C7orf10	FCGBP	0.33333333333333337
FCGBP	R3HDM2	0.30000000000000004
MYO16	ZNF165	0.09999999999999998
FCGBP	MYF5	0.29166666666666663
DNM1	FCGBP	0.26923076923076916
FCGBP	ZNF142	0.25
MBNL1	MYO16	0.15384615384615385
FCGBP	MYO16	-0.06862745098039214
DNAH5	MYO16	0.15625
FCGBP	ZNF165	0.25
MYO16	R3HDM2	0.1470588235294117
DNAH5	FCGBP	0.26190476190476186
DNM1	MYO16	0.17500000000000004
MYO16	TPSAB1	0.18181818181818188
MYO16	STEAP4	0.1875
FCGBP	SMG1	0.31666666666666665
FCGBP	KRT40	0.30645161290322576
FCGBP	TXK	0.3088235294117647
MAOB	MYO16	0.2142857142857143
MYO16	SEMA3G	0.22580645161290325
ASB18	MYO16	0.21875
FCGBP	TPSAB1	0.3157894736842105
C1orf85	FCGBP	0.3076923076923077
MYO16	OR3A2	0.21212121212121215
C1orf85	MYO16	0.2058823529411764
FCGBP	ZFHX4	0.30000000000000004
ASB18	FCGBP	0.3023255813953488
CYP2B6	MYO16	0.20833333333333326
KRT40	MYO16	0.20270270270270263
MYF5	MYO16	0.19736842105263164
HEATR7B2	MYO16	0.2142857142857143
CYP2B6	FCGBP	0.3085106382978724
FCGBP	KL	0.30208333333333337
CCDC158	FCGBP	0.29591836734693877
CCDC158	MYO16	0.20930232558139528
EPM2A	FCGBP	0.29000000000000004
EPM2A	MYO16	0.20454545454545459
HTR1D	MYO16	0.19999999999999996
MYO16	TXK	0.19565217391304346
GAB2	MYO16	0.1914893617021276
FCGBP	SPTA1	0.28431372549019607
EZH2	FCGBP	0.27884615384615385
FCGBP	SLC35E1	0.2777777777777778
MYO16	SIPA1L2	0.1875
FCGBP	MBNL1	0.2727272727272727
FCGBP	PRKCB	0.2678571428571428
MYO16	OR10Q1	0.21818181818181825
MYO16	SLC35E1	0.2142857142857143
MYO16	RPL36A-HNRNPH2	0.21551724137931028
BPIFA3	MYO16	0.211864406779661
DNAH3	FCGBP	0.29230769230769227
FCGBP	OR10Q1	0.28787878787878785
BPIFA3	FCGBP	0.28358208955223885
FCGBP	SIPA1L2	0.27941176470588236
CCR5	FCGBP	0.2753623188405797
DNAH3	MYO16	0.20833333333333326
CCR5	MYO16	0.2142857142857143
FCGBP	SEMA3G	0.2777777777777778
FCGBP	HTR1D	0.28
MYO16	PHEX	0.2153846153846154
CDC27	FCGBP	0.28205128205128205
IARS	MYO16	0.21212121212121215
CDC27	MYO16	0.22142857142857142
FCGBP	STEAP4	0.28915662650602414
FCGBP	GUCY2C	0.28823529411764703
FCGBP	OTC	0.2848837209302326
MTF1	MYO16	0.22972972972972971
EAF2	MYO16	0.22666666666666668
MYO16	SLC2A13	0.2236842105263157
FCGBP	HEATR7B2	0.2816091954022988
FCGBP	PRAMEF20	0.27840909090909094
MYO16	SPTA1	0.22435897435897434
FCGBP	SLC2A13	0.2777777777777778
MYO16	PRKCB	0.22839506172839508
FCGBP	RPL36A-HNRNPH2	0.27472527472527475
EAF2	FCGBP	0.27419354838709675
HAL	MYO16	0.23529411764705888
HOXC5	MYO16	0.2325581395348837
MYO16	PTPRR	0.23295454545454541
FCGBP	LRRC8D	0.2828282828282829
FCGBP	PTPRR	0.2821782178217822
FCGBP	SCN10A	0.27941176470588236
EZH2	MYO16	0.24193548387096775
FCGBP	SLC26A8	0.2766990291262136
FCGBP	MAOB	0.28037383177570097
FCGBP	IL12RB2	0.28181818181818186
MYO16	OTC	0.2621359223300971
BEST2	MYO16	0.26190476190476186
GLRA1	MYO16	0.25943396226415094
FCGBP	OR5AU1	0.2923728813559322
LRRC8D	MYO16	0.26146788990825687
MYO16	OR5AU1	0.25909090909090904
BEST2	FCGBP	0.29338842975206614
FCGBP	PDGFD	0.290983606557377
FCGBP	NEB	0.28861788617886175
MYO16	SMG1	0.26106194690265483
FCGBP	NTRK1	0.28629032258064513
MYO16	PCDHAC2	0.25877192982456143
FCGBP	SERPINB3	0.28400000000000003
FCGBP	HEATR5A	0.28174603174603174
MYO16	SPINT1	0.2627118644067796
CD163	FCGBP	0.2829457364341086
DCAF8L1	FCGBP	0.28409090909090906
MYO16	NEB	0.26639344262295084
FCGBP	GAB2	0.28358208955223885
CDKL5	FCGBP	0.28148148148148144
CDKL5	MYO16	0.2661290322580645
DCAF8L1	MYO16	0.264
FCGBP	MTF1	0.27941176470588236
MYO16	ZFHX4	0.2727272727272727
FCGBP	GLRA1	0.2773722627737226
MYH11	MYO16	0.2706766917293233
FCGBP	SORBS1	0.2785714285714286
CD163	MYO16	0.2720588235294118
FCGBP	OR3A2	0.27659574468085113
ALX1	FCGBP	0.27464788732394363
ALX1	MYO16	0.27007299270072993
C12orf40	MYO16	0.2676056338028169
MYO16	PIK3CA	0.2689655172413793
FCGBP	RERGL	0.2773972602739726
FCGBP	IARS	0.277027027027027
MYO16	SRP54	0.26870748299319724
MYO16	PRAMEF20	0.2668918918918919
MYO16	PDGFD	0.2651006711409396
MYO16	SORBS1	0.26797385620915026
FCGBP	PIK3CA	0.2781456953642384
CASS4	FCGBP	0.2763157894736842
CASS4	MYO16	0.26623376623376627
MYO16	NTRK1	0.2675159235668789
IL12RB2	MYO16	0.2672955974842768
FCGBP	SRP54	0.2774193548387096
KL	MYO16	0.26993865030674846
MYO16	RERGL	0.2682926829268293
FCGBP	HOXC5	0.27707006369426757
APOB	MYO16	0.2678571428571428
