gene	Mutation Type	dead	alive	percentage
UBE2Q2P1	RNA	2.0	3.0	40.0
C1S	Missense_Mutation	3.0	2.0	60.0
KCNB1	Missense_Mutation	3.0	2.0	60.0
CELSR1	Silent	5.0	5.0	50.0
TIAM2	Missense_Mutation	9.0	6.0	60.0
SREBF1	Missense_Mutation	2.0	5.0	28.57142857142857
KCNS3	Missense_Mutation	3.0	2.0	60.0
CEP170	Missense_Mutation	1.0	4.0	20.0
NAV3	Missense_Mutation	2.0	9.0	18.181818181818183
OR5I1	Missense_Mutation	3.0	3.0	50.0
YSK4	Missense_Mutation	4.0	2.0	66.66666666666666
CPAMD8	Silent	5.0	2.0	71.42857142857143
PALM2-AKAP2	Missense_Mutation	3.0	5.0	37.5
NEO1	Missense_Mutation	0.0	5.0	0.0
ABCC10	Missense_Mutation	1.0	12.0	7.6923076923076925
KMT2A	Silent	3.0	4.0	42.857142857142854
PCDHB14	Missense_Mutation	3.0	2.0	60.0
C1orf173	Missense_Mutation	8.0	4.0	66.66666666666666
LAMB1	Missense_Mutation	4.0	2.0	66.66666666666666
OR5H14	Missense_Mutation	0.0	5.0	0.0
ATP9A	Missense_Mutation	2.0	6.0	25.0
AKAP13	Missense_Mutation	3.0	6.0	33.33333333333333
DROSHA	Missense_Mutation	2.0	3.0	40.0
HERC1	Missense_Mutation	6.0	11.0	35.294117647058826
AHR	Missense_Mutation	2.0	4.0	33.33333333333333
EPHB6	Silent	1.0	4.0	20.0
ACSM2B	Missense_Mutation	2.0	3.0	40.0
CAND1	Missense_Mutation	3.0	2.0	60.0
CLYBL	Missense_Mutation	4.0	1.0	80.0
COL6A5	Missense_Mutation	5.0	1.0	83.33333333333334
YIPF6	Missense_Mutation	3.0	3.0	50.0
MECOM	Silent	4.0	2.0	66.66666666666666
OR4A47	Missense_Mutation	3.0	3.0	50.0
ABCA9	Silent	1.0	4.0	20.0
ZNF347	Missense_Mutation	1.0	5.0	16.666666666666664
OR51E1	Missense_Mutation	1.0	4.0	20.0
BCOR	Nonsense_Mutation	4.0	1.0	80.0
RFX6	Missense_Mutation	4.0	3.0	57.14285714285714
ABCA5	Missense_Mutation	5.0	2.0	71.42857142857143
GDI1	Missense_Mutation	2.0	3.0	40.0
SLIT2	Silent	3.0	4.0	42.857142857142854
OGT	Missense_Mutation	5.0	4.0	55.55555555555556
PTPRT	Missense_Mutation	6.0	2.0	75.0
RP11-146E13.4	RNA	8.0	10.0	44.44444444444444
DIDO1	Missense_Mutation	4.0	3.0	57.14285714285714
MUC5B	Missense_Mutation	11.0	17.0	39.285714285714285
MYH2	Missense_Mutation	13.0	11.0	54.166666666666664
NF1	Nonsense_Mutation	18.0	7.0	72.0
PMEL	Missense_Mutation	2.0	4.0	33.33333333333333
GOLGA6L5	RNA	1.0	4.0	20.0
MAG	Missense_Mutation	4.0	1.0	80.0
DCAF12L1	Missense_Mutation	5.0	3.0	62.5
KLRC2	Missense_Mutation	4.0	1.0	80.0
SULF1	Missense_Mutation	3.0	4.0	42.857142857142854
TANGO6	Missense_Mutation	2.0	4.0	33.33333333333333
SLC4A4	Missense_Mutation	1.0	6.0	14.285714285714285
OCA2	Silent	1.0	4.0	20.0
SERPINB13	Missense_Mutation	3.0	3.0	50.0
EEF1A1	Missense_Mutation	5.0	2.0	71.42857142857143
SLC35G3	Missense_Mutation	2.0	4.0	33.33333333333333
OTOF	Missense_Mutation	4.0	5.0	44.44444444444444
DGKD	Missense_Mutation	5.0	3.0	62.5
BUD13	Missense_Mutation	3.0	2.0	60.0
SMARCA4	Missense_Mutation	2.0	22.0	8.333333333333332
ADAM33	Missense_Mutation	1.0	6.0	14.285714285714285
YME1L1	Missense_Mutation	3.0	2.0	60.0
OR8H3	Missense_Mutation	3.0	2.0	60.0
AFF3	Missense_Mutation	1.0	4.0	20.0
HELZ2	Silent	2.0	5.0	28.57142857142857
WRN	Missense_Mutation	1.0	4.0	20.0
LAMA1	Missense_Mutation	11.0	8.0	57.89473684210527
DNAH10	Silent	2.0	5.0	28.57142857142857
PDE4C	Silent	3.0	3.0	50.0
ABCB5	Missense_Mutation	3.0	5.0	37.5
PLEKHA5	Missense_Mutation	3.0	2.0	60.0
CHEK2	Silent	5.0	14.0	26.31578947368421
CLMN	Missense_Mutation	4.0	3.0	57.14285714285714
RAD54L	Missense_Mutation	1.0	4.0	20.0
VPS13A	Missense_Mutation	3.0	4.0	42.857142857142854
CEP250	Missense_Mutation	3.0	3.0	50.0
OR51T1	Missense_Mutation	3.0	4.0	42.857142857142854
SYCP1	Missense_Mutation	2.0	3.0	40.0
ZNF681	Missense_Mutation	4.0	4.0	50.0
DIAPH2	Missense_Mutation	2.0	3.0	40.0
CEP128	Missense_Mutation	2.0	3.0	40.0
TBP	Silent	6.0	12.0	33.33333333333333
PRUNE2	Missense_Mutation	2.0	5.0	28.57142857142857
LRRK2	Missense_Mutation	1.0	6.0	14.285714285714285
CCT6P3	RNA	2.0	10.0	16.666666666666664
PNMA3	Missense_Mutation	3.0	3.0	50.0
AGAP10	Splice_Site	3.0	4.0	42.857142857142854
HLTF	Missense_Mutation	2.0	3.0	40.0
POTEG	Missense_Mutation	1.0	5.0	16.666666666666664
ALPPL2	Missense_Mutation	4.0	2.0	66.66666666666666
RAB3GAP2	Missense_Mutation	2.0	4.0	33.33333333333333
VILL	Missense_Mutation	0.0	5.0	0.0
ABI3BP	Missense_Mutation	2.0	6.0	25.0
RAPGEF2	Missense_Mutation	2.0	3.0	40.0
DNMBP	Missense_Mutation	4.0	2.0	66.66666666666666
COL6A3	Silent	3.0	4.0	42.857142857142854
TRIM13	Missense_Mutation	2.0	3.0	40.0
RYR3	Missense_Mutation	13.0	12.0	52.0
MC3R	Missense_Mutation	5.0	0.0	100.0
NCOR2	Silent	0.0	5.0	0.0
KLKB1	Missense_Mutation	2.0	5.0	28.57142857142857
CD93	Silent	1.0	4.0	20.0
PHF20L1	Missense_Mutation	2.0	4.0	33.33333333333333
ARHGEF9	Missense_Mutation	2.0	4.0	33.33333333333333
CEP350	Missense_Mutation	4.0	3.0	57.14285714285714
SLC22A10	Missense_Mutation	4.0	3.0	57.14285714285714
ATP1A2	Missense_Mutation	1.0	4.0	20.0
INTS3	Missense_Mutation	0.0	5.0	0.0
PDZRN4	Missense_Mutation	3.0	4.0	42.857142857142854
EFCAB6	Missense_Mutation	3.0	4.0	42.857142857142854
ADAM28	Silent	5.0	4.0	55.55555555555556
GAL3ST4	Missense_Mutation	4.0	4.0	50.0
COBLL1	Missense_Mutation	5.0	2.0	71.42857142857143
DSC2	Missense_Mutation	2.0	4.0	33.33333333333333
SCAF4	Missense_Mutation	3.0	2.0	60.0
RLTPR	Silent	2.0	3.0	40.0
ARID1A	Missense_Mutation	2.0	8.0	20.0
GFPT1	Missense_Mutation	3.0	2.0	60.0
CACNA1F	Missense_Mutation	3.0	2.0	60.0
CTNNA2	Missense_Mutation	3.0	3.0	50.0
PLEC	Silent	3.0	3.0	50.0
SLC5A4	Missense_Mutation	5.0	1.0	83.33333333333334
AGAP3	Missense_Mutation	4.0	4.0	50.0
IL34	Missense_Mutation	1.0	4.0	20.0
JMJD1C	Missense_Mutation	2.0	3.0	40.0
CUL2	Missense_Mutation	2.0	5.0	28.57142857142857
PVRL4	Missense_Mutation	4.0	1.0	80.0
LRRC7	Silent	4.0	1.0	80.0
GJA1	Missense_Mutation	0.0	5.0	0.0
KMT2C	Missense_Mutation	3.0	18.0	14.285714285714285
GPR133	Missense_Mutation	4.0	2.0	66.66666666666666
LGR4	Missense_Mutation	2.0	4.0	33.33333333333333
CMYA5	Missense_Mutation	2.0	3.0	40.0
FRY	Missense_Mutation	2.0	6.0	25.0
SLCO4C1	Missense_Mutation	2.0	4.0	33.33333333333333
MAGEB16	Missense_Mutation	3.0	2.0	60.0
KAT6A	Silent	2.0	11.0	15.384615384615385
PTH2	Missense_Mutation	2.0	3.0	40.0
GPR116	Missense_Mutation	6.0	6.0	50.0
CUBN	Missense_Mutation	7.0	7.0	50.0
NEB	Silent	2.0	6.0	25.0
ZNF518B	Missense_Mutation	2.0	5.0	28.57142857142857
DPPA2	Missense_Mutation	2.0	3.0	40.0
SLK	Missense_Mutation	1.0	4.0	20.0
KRT37	Missense_Mutation	4.0	3.0	57.14285714285714
SPTAN1	Missense_Mutation	2.0	5.0	28.57142857142857
PRR12	Missense_Mutation	2.0	5.0	28.57142857142857
PLCH1	Missense_Mutation	2.0	3.0	40.0
KIF21A	Missense_Mutation	2.0	3.0	40.0
WDR49	Missense_Mutation	2.0	3.0	40.0
FRG1B	Missense_Mutation	39.0	76.0	33.91304347826087
TYW1B	RNA	0.0	9.0	0.0
THSD4	Missense_Mutation	2.0	4.0	33.33333333333333
CDH4	Missense_Mutation	4.0	4.0	50.0
PLEKHM3	Missense_Mutation	1.0	7.0	12.5
PKDREJ	Missense_Mutation	2.0	3.0	40.0
UGT3A2	Missense_Mutation	4.0	1.0	80.0
GRIA4	Missense_Mutation	1.0	4.0	20.0
CHD4	Missense_Mutation	1.0	4.0	20.0
ANKRD30A	Missense_Mutation	4.0	11.0	26.666666666666668
TRPM8	Missense_Mutation	3.0	2.0	60.0
ELN	Missense_Mutation	2.0	5.0	28.57142857142857
ITGB7	Missense_Mutation	3.0	3.0	50.0
MAST2	Missense_Mutation	4.0	1.0	80.0
LRRC3	Missense_Mutation	2.0	3.0	40.0
NLRC5	Silent	3.0	2.0	60.0
TMEM132D	Missense_Mutation	7.0	5.0	58.333333333333336
CD209	Missense_Mutation	7.0	7.0	50.0
PCSK2	Missense_Mutation	1.0	4.0	20.0
MYH13	Missense_Mutation	11.0	6.0	64.70588235294117
BCLAF1	Missense_Mutation	6.0	5.0	54.54545454545454
SLCO5A1	Missense_Mutation	6.0	1.0	85.71428571428571
DOCK8	Silent	1.0	5.0	16.666666666666664
USH2A	Silent	6.0	8.0	42.857142857142854
PKHD1L1	Missense_Mutation	6.0	9.0	40.0
PTPRM	Missense_Mutation	4.0	4.0	50.0
KRT8	Missense_Mutation	1.0	4.0	20.0
RB1	Frame_Shift_Del	6.0	4.0	60.0
SIPA1L1	Missense_Mutation	3.0	3.0	50.0
PLXNA2	Missense_Mutation	3.0	6.0	33.33333333333333
GAK	Missense_Mutation	3.0	3.0	50.0
IL1RL2	Missense_Mutation	3.0	3.0	50.0
OR5K1	Missense_Mutation	3.0	2.0	60.0
PAN3	Missense_Mutation	3.0	2.0	60.0
PLCB2	Missense_Mutation	3.0	4.0	42.857142857142854
HEATR2	Missense_Mutation	1.0	4.0	20.0
AMOTL1	Missense_Mutation	3.0	2.0	60.0
CNTNAP2	Missense_Mutation	12.0	5.0	70.58823529411765
DNAH3	Missense_Mutation	8.0	14.0	36.36363636363637
MYH9	Silent	1.0	5.0	16.666666666666664
TPO	Missense_Mutation	6.0	4.0	60.0
TRO	Missense_Mutation	5.0	0.0	100.0
AC007255.7	RNA	1.0	4.0	20.0
HECW1	Missense_Mutation	4.0	3.0	57.14285714285714
hsa-mir-7162	RNA	1.0	4.0	20.0
MAGI2	Missense_Mutation	1.0	5.0	16.666666666666664
FOCAD	Missense_Mutation	2.0	5.0	28.57142857142857
NPC1L1	Silent	1.0	4.0	20.0
KRTAP4-11	Missense_Mutation	12.0	16.0	42.857142857142854
ANKRD36BP2	RNA	1.0	4.0	20.0
GPRASP1	Missense_Mutation	3.0	4.0	42.857142857142854
CRB2	Missense_Mutation	2.0	5.0	28.57142857142857
EEF1B2	Silent	0.0	5.0	0.0
PDHA2	Missense_Mutation	3.0	2.0	60.0
FRG1B	Silent	5.0	6.0	45.45454545454545
PDE1C	Missense_Mutation	3.0	4.0	42.857142857142854
USP6	Missense_Mutation	6.0	3.0	66.66666666666666
IFT122	Missense_Mutation	2.0	4.0	33.33333333333333
NXF3	Missense_Mutation	1.0	4.0	20.0
NCOA3	Missense_Mutation	2.0	3.0	40.0
KAT6B	Frame_Shift_Del	2.0	4.0	33.33333333333333
SRRM2	Missense_Mutation	4.0	8.0	33.33333333333333
LGSN	Missense_Mutation	5.0	3.0	62.5
CCDC110	Missense_Mutation	2.0	5.0	28.57142857142857
KRT20	Missense_Mutation	3.0	2.0	60.0
USP19	Missense_Mutation	0.0	5.0	0.0
PKN1	Missense_Mutation	3.0	3.0	50.0
CUX2	Silent	4.0	2.0	66.66666666666666
SYNJ2	Missense_Mutation	4.0	8.0	33.33333333333333
SLC28A3	Missense_Mutation	2.0	3.0	40.0
ATN1	Missense_Mutation	3.0	4.0	42.857142857142854
OR10J3	Missense_Mutation	2.0	4.0	33.33333333333333
ERCC6	Missense_Mutation	1.0	4.0	20.0
RP11-119F19.2	RNA	0.0	7.0	0.0
PTCHD1	Missense_Mutation	2.0	8.0	20.0
ESPNP	RNA	4.0	11.0	26.666666666666668
ILVBL	Missense_Mutation	0.0	5.0	0.0
CARM1	Missense_Mutation	2.0	4.0	33.33333333333333
ANKRD50	Missense_Mutation	3.0	4.0	42.857142857142854
OR14A16	Missense_Mutation	1.0	4.0	20.0
IGFN1	Missense_Mutation	3.0	8.0	27.27272727272727
FAT2	Missense_Mutation	10.0	22.0	31.25
PIK3CB	Missense_Mutation	3.0	4.0	42.857142857142854
ITIH3	Missense_Mutation	2.0	3.0	40.0
RUNX2	Missense_Mutation	5.0	0.0	100.0
ZSCAN29	Missense_Mutation	4.0	2.0	66.66666666666666
ENGASE	Missense_Mutation	2.0	4.0	33.33333333333333
OTOA	Missense_Mutation	5.0	4.0	55.55555555555556
ZMIZ2	Missense_Mutation	1.0	4.0	20.0
STAG3L4	RNA	3.0	5.0	37.5
PRDM10	Missense_Mutation	1.0	8.0	11.11111111111111
DDX11L11	Missense_Mutation	4.0	1.0	80.0
PLG	Missense_Mutation	3.0	3.0	50.0
SIGLEC9	Missense_Mutation	3.0	2.0	60.0
SMARCA4	In_Frame_Del	0.0	6.0	0.0
MYT1	Silent	1.0	5.0	16.666666666666664
HERC2P3	RNA	5.0	10.0	33.33333333333333
MAP1B	Missense_Mutation	2.0	8.0	20.0
COL5A1	Silent	4.0	4.0	50.0
STAB1	Missense_Mutation	5.0	7.0	41.66666666666667
PSD4	Silent	2.0	3.0	40.0
PCDH11Y	Missense_Mutation	7.0	1.0	87.5
SYNE2	Silent	5.0	5.0	50.0
ARSK	Missense_Mutation	1.0	4.0	20.0
MYH7	Missense_Mutation	4.0	10.0	28.57142857142857
USP51	Missense_Mutation	3.0	3.0	50.0
HLA-DQB2	Missense_Mutation	4.0	4.0	50.0
NLRX1	Missense_Mutation	3.0	2.0	60.0
TRANK1	Silent	1.0	4.0	20.0
PABPC4	Missense_Mutation	2.0	5.0	28.57142857142857
RAB11FIP5	Missense_Mutation	3.0	2.0	60.0
KSR1	Missense_Mutation	3.0	3.0	50.0
MAML3	Silent	1.0	5.0	16.666666666666664
ZNF676	Missense_Mutation	3.0	2.0	60.0
NUAK1	Missense_Mutation	1.0	5.0	16.666666666666664
PSD3	Missense_Mutation	3.0	3.0	50.0
SIM1	Silent	3.0	4.0	42.857142857142854
DIS3L2	Missense_Mutation	2.0	3.0	40.0
PLCG2	Silent	5.0	2.0	71.42857142857143
CANT1	Missense_Mutation	4.0	1.0	80.0
DNAH5	Missense_Mutation	16.0	13.0	55.172413793103445
KCNH5	Missense_Mutation	4.0	2.0	66.66666666666666
FREM2	Missense_Mutation	3.0	6.0	33.33333333333333
SBF1	Missense_Mutation	5.0	6.0	45.45454545454545
SORCS3	Missense_Mutation	3.0	4.0	42.857142857142854
ADAM21P1	RNA	3.0	4.0	42.857142857142854
LRP1B	Missense_Mutation	11.0	14.0	44.0
CCDC129	Missense_Mutation	4.0	5.0	44.44444444444444
OLFML2B	Missense_Mutation	3.0	2.0	60.0
MXRA5	Missense_Mutation	13.0	10.0	56.52173913043478
EPHB2	Missense_Mutation	2.0	3.0	40.0
PIK3R1	In_Frame_Del	7.0	8.0	46.666666666666664
DNAH5	Silent	5.0	4.0	55.55555555555556
KRT6B	Missense_Mutation	3.0	3.0	50.0
GCC2	Missense_Mutation	2.0	3.0	40.0
TBC1D22A	Missense_Mutation	0.0	7.0	0.0
BIRC6	Missense_Mutation	4.0	6.0	40.0
BRCA2	Missense_Mutation	5.0	8.0	38.46153846153847
FRYL	Missense_Mutation	4.0	5.0	44.44444444444444
IGF1R	Missense_Mutation	5.0	2.0	71.42857142857143
MARVELD2	Missense_Mutation	0.0	5.0	0.0
DOPEY1	Missense_Mutation	1.0	5.0	16.666666666666664
CNTN4	Missense_Mutation	4.0	4.0	50.0
CXorf57	Missense_Mutation	3.0	4.0	42.857142857142854
PTGFRN	Missense_Mutation	2.0	3.0	40.0
ITPR2	Missense_Mutation	3.0	12.0	20.0
CAMTA1	Missense_Mutation	2.0	3.0	40.0
MUC4	Missense_Mutation	21.0	26.0	44.680851063829785
CCDC88C	Missense_Mutation	1.0	5.0	16.666666666666664
GLIS1	Missense_Mutation	2.0	3.0	40.0
OR1M1	Missense_Mutation	0.0	5.0	0.0
PDE11A	Missense_Mutation	2.0	3.0	40.0
NCAN	Missense_Mutation	2.0	4.0	33.33333333333333
KIF13A	Missense_Mutation	4.0	3.0	57.14285714285714
ARHGEF10L	Missense_Mutation	2.0	5.0	28.57142857142857
ERCC6L	Missense_Mutation	3.0	3.0	50.0
CUL4B	Missense_Mutation	0.0	8.0	0.0
PEG10	Missense_Mutation	2.0	3.0	40.0
BSN	Missense_Mutation	2.0	12.0	14.285714285714285
OCA2	Missense_Mutation	1.0	5.0	16.666666666666664
FYB	Silent	1.0	6.0	14.285714285714285
SORL1	Silent	2.0	4.0	33.33333333333333
TCEB3B	Silent	1.0	5.0	16.666666666666664
FAM86JP	RNA	5.0	4.0	55.55555555555556
SERPINA11	Missense_Mutation	3.0	2.0	60.0
TNS1	Missense_Mutation	3.0	3.0	50.0
SLC4A2	Missense_Mutation	2.0	6.0	25.0
STAB1	Silent	4.0	4.0	50.0
RNF112	Missense_Mutation	2.0	3.0	40.0
DST	Silent	3.0	4.0	42.857142857142854
MSL3	Missense_Mutation	2.0	3.0	40.0
RP1	Missense_Mutation	3.0	14.0	17.647058823529413
LRRC4C	Missense_Mutation	3.0	3.0	50.0
ZNF215	Missense_Mutation	1.0	4.0	20.0
TGFBR2	Missense_Mutation	1.0	4.0	20.0
DCAF8L1	Silent	4.0	4.0	50.0
SRRM4	Missense_Mutation	4.0	1.0	80.0
PCLO	Silent	8.0	7.0	53.333333333333336
AP4B1	Missense_Mutation	2.0	3.0	40.0
VWA3A	Missense_Mutation	3.0	5.0	37.5
LAMB3	Missense_Mutation	6.0	1.0	85.71428571428571
D86994.2	RNA	1.0	10.0	9.090909090909092
SMARCC1	Missense_Mutation	1.0	4.0	20.0
PDE2A	Missense_Mutation	1.0	4.0	20.0
