gene	Mutation Type	dead	alive	percentage
FOXN1	Missense_Mutation	2.0	3.0	40.0
MMP3	Missense_Mutation	2.0	4.0	33.33333333333333
CHD6	Missense_Mutation	2.0	6.0	25.0
TRIM42	Missense_Mutation	3.0	2.0	60.0
MAX	Missense_Mutation	2.0	5.0	28.57142857142857
BICD2	Missense_Mutation	5.0	3.0	62.5
ACE	Missense_Mutation	5.0	2.0	71.42857142857143
PFAS	Missense_Mutation	1.0	5.0	16.666666666666664
IGSF10	Missense_Mutation	3.0	7.0	30.0
TFAP2D	Missense_Mutation	1.0	5.0	16.666666666666664
TMEM131	Missense_Mutation	1.0	4.0	20.0
ADARB2	Missense_Mutation	3.0	2.0	60.0
MAP3K9	Missense_Mutation	4.0	2.0	66.66666666666666
GLI2	Missense_Mutation	2.0	3.0	40.0
ADAM2	Missense_Mutation	4.0	1.0	80.0
TTN	Silent	30.0	41.0	42.25352112676056
NBEAL1	Missense_Mutation	2.0	5.0	28.57142857142857
PTX4	Missense_Mutation	1.0	6.0	14.285714285714285
GPR83	Missense_Mutation	4.0	1.0	80.0
LRP2	Missense_Mutation	12.0	24.0	33.33333333333333
CLASP1	Missense_Mutation	3.0	2.0	60.0
ARID1A	Nonsense_Mutation	0.0	6.0	0.0
NISCH	Missense_Mutation	2.0	3.0	40.0
CHD9	Missense_Mutation	7.0	10.0	41.17647058823529
SLX4	Silent	2.0	4.0	33.33333333333333
WWC3	Missense_Mutation	2.0	5.0	28.57142857142857
A1CF	Missense_Mutation	3.0	2.0	60.0
FRMPD3	Missense_Mutation	0.0	5.0	0.0
RUSC2	Missense_Mutation	2.0	6.0	25.0
KRTAP10-6	Silent	3.0	2.0	60.0
COL27A1	Missense_Mutation	3.0	3.0	50.0
TNS4	Silent	3.0	3.0	50.0
HSPA12A	Missense_Mutation	3.0	2.0	60.0
ZCCHC5	Missense_Mutation	3.0	2.0	60.0
MACF1	Missense_Mutation	13.0	9.0	59.09090909090909
CAMSAP1	Missense_Mutation	2.0	4.0	33.33333333333333
EPHA10	Missense_Mutation	6.0	5.0	54.54545454545454
CNOT4	Missense_Mutation	0.0	5.0	0.0
ANO5	Missense_Mutation	4.0	2.0	66.66666666666666
TMF1	Missense_Mutation	1.0	4.0	20.0
ZFC3H1	Missense_Mutation	4.0	3.0	57.14285714285714
KIAA1024	Missense_Mutation	2.0	3.0	40.0
MYOCD	Missense_Mutation	9.0	2.0	81.81818181818183
RALGDS	Missense_Mutation	2.0	3.0	40.0
ENC1	Missense_Mutation	1.0	4.0	20.0
AC006293.3	RNA	1.0	6.0	14.285714285714285
PTPRB	Silent	4.0	4.0	50.0
EPHA4	Missense_Mutation	1.0	7.0	12.5
ANK3	Silent	4.0	4.0	50.0
FAP	Missense_Mutation	2.0	3.0	40.0
SVEP1	Missense_Mutation	4.0	9.0	30.76923076923077
COL6A3	Missense_Mutation	15.0	11.0	57.692307692307686
KCTD16	Missense_Mutation	4.0	3.0	57.14285714285714
VIM	Missense_Mutation	2.0	3.0	40.0
ZNF569	Missense_Mutation	3.0	3.0	50.0
TYRO3	Missense_Mutation	4.0	1.0	80.0
POTEC	Silent	3.0	6.0	33.33333333333333
CEP170B	Missense_Mutation	1.0	4.0	20.0
MUC17	Missense_Mutation	29.0	32.0	47.540983606557376
OTUD4	Silent	3.0	2.0	60.0
NBAS	Missense_Mutation	6.0	5.0	54.54545454545454
BRD1	Missense_Mutation	2.0	3.0	40.0
PTPN14	Missense_Mutation	3.0	5.0	37.5
DEPDC5	Missense_Mutation	3.0	2.0	60.0
TXNDC2	Missense_Mutation	4.0	6.0	40.0
JHDM1D	Missense_Mutation	6.0	1.0	85.71428571428571
ZNF335	Missense_Mutation	3.0	3.0	50.0
STAG2	Splice_Site	3.0	3.0	50.0
MTMR8	Missense_Mutation	3.0	4.0	42.857142857142854
TDRD9	Missense_Mutation	3.0	4.0	42.857142857142854
NBPF10	Splice_Site	3.0	4.0	42.857142857142854
PCK1	Missense_Mutation	2.0	4.0	33.33333333333333
CIC	Missense_Mutation	5.0	62.0	7.462686567164178
MXRA5	Silent	8.0	3.0	72.72727272727273
NF1	Splice_Site	11.0	3.0	78.57142857142857
JUP	Missense_Mutation	1.0	4.0	20.0
FAM123C	Missense_Mutation	5.0	1.0	83.33333333333334
NBEA	Missense_Mutation	4.0	5.0	44.44444444444444
BCOR	Silent	4.0	6.0	40.0
CIC	Frame_Shift_Del	7.0	29.0	19.444444444444446
ABCC5	Missense_Mutation	3.0	4.0	42.857142857142854
LRP4	Missense_Mutation	1.0	6.0	14.285714285714285
PRB4	Missense_Mutation	4.0	3.0	57.14285714285714
MUC4	Silent	3.0	10.0	23.076923076923077
TMPRSS6	Missense_Mutation	2.0	5.0	28.57142857142857
TLN2	Silent	0.0	6.0	0.0
DSG1	Silent	3.0	2.0	60.0
VPS13C	Missense_Mutation	5.0	11.0	31.25
ACTN2	Missense_Mutation	0.0	6.0	0.0
ATP8B3	Missense_Mutation	4.0	2.0	66.66666666666666
ATP7A	Missense_Mutation	4.0	7.0	36.36363636363637
AFF1	Missense_Mutation	1.0	4.0	20.0
ZNF761	RNA	6.0	6.0	50.0
CPXM2	Missense_Mutation	1.0	5.0	16.666666666666664
UBE3C	Missense_Mutation	4.0	4.0	50.0
NBPF10	Missense_Mutation	18.0	22.0	45.0
SIGLEC6	Missense_Mutation	3.0	5.0	37.5
SPERT	Missense_Mutation	2.0	3.0	40.0
DLGAP4	Missense_Mutation	2.0	4.0	33.33333333333333
KCNB2	Silent	1.0	5.0	16.666666666666664
ATRX	Frame_Shift_Del	27.0	73.0	27.0
TECTA	Missense_Mutation	4.0	3.0	57.14285714285714
QSER1	Missense_Mutation	4.0	2.0	66.66666666666666
SDK2	Missense_Mutation	4.0	2.0	66.66666666666666
SSTR4	Missense_Mutation	5.0	7.0	41.66666666666667
THOC2	Missense_Mutation	3.0	6.0	33.33333333333333
MYOM2	Missense_Mutation	4.0	4.0	50.0
PTEN	Splice_Site	6.0	4.0	60.0
BMP5	Missense_Mutation	3.0	3.0	50.0
TRPM5	Missense_Mutation	2.0	3.0	40.0
MDN1	Missense_Mutation	2.0	8.0	20.0
TLR2	Missense_Mutation	3.0	2.0	60.0
PCSK4	Missense_Mutation	2.0	3.0	40.0
MYCBP2	Missense_Mutation	2.0	9.0	18.181818181818183
COL2A1	Missense_Mutation	1.0	4.0	20.0
OR2M3	Missense_Mutation	3.0	4.0	42.857142857142854
CDH9	Missense_Mutation	7.0	4.0	63.63636363636363
FSCB	Silent	4.0	1.0	80.0
CIC	Frame_Shift_Ins	4.0	11.0	26.666666666666668
PCNX	Missense_Mutation	2.0	6.0	25.0
CYP2D7P1	RNA	2.0	6.0	25.0
FLG	Missense_Mutation	33.0	28.0	54.09836065573771
BRPF3	Missense_Mutation	2.0	3.0	40.0
MYO3A	Silent	1.0	7.0	12.5
OR5D13	Missense_Mutation	4.0	2.0	66.66666666666666
SI	Missense_Mutation	6.0	5.0	54.54545454545454
LRP1	Silent	3.0	6.0	33.33333333333333
SGOL2	Missense_Mutation	5.0	5.0	50.0
CPZ	Missense_Mutation	1.0	5.0	16.666666666666664
ABL1	Missense_Mutation	1.0	4.0	20.0
HIPK2	Missense_Mutation	2.0	3.0	40.0
AIFM1	Missense_Mutation	3.0	3.0	50.0
FSD1	Missense_Mutation	1.0	4.0	20.0
PTCD1	Missense_Mutation	2.0	4.0	33.33333333333333
FTSJ3	Missense_Mutation	3.0	2.0	60.0
CACNA1H	Missense_Mutation	3.0	6.0	33.33333333333333
TRIML1	Missense_Mutation	7.0	4.0	63.63636363636363
KIAA0907	Missense_Mutation	2.0	6.0	25.0
AC073321.4	RNA	3.0	5.0	37.5
ZNF844	Missense_Mutation	5.0	8.0	38.46153846153847
NACA	Silent	1.0	9.0	10.0
APOB	Missense_Mutation	14.0	14.0	50.0
KIF2B	Missense_Mutation	6.0	8.0	42.857142857142854
NYAP2	Missense_Mutation	1.0	4.0	20.0
RECQL4	Missense_Mutation	5.0	2.0	71.42857142857143
TP63	Missense_Mutation	3.0	5.0	37.5
FN1	Missense_Mutation	7.0	5.0	58.333333333333336
CNTNAP3B	Missense_Mutation	2.0	4.0	33.33333333333333
CTC1	Missense_Mutation	1.0	5.0	16.666666666666664
CP	Missense_Mutation	5.0	2.0	71.42857142857143
TLR7	Missense_Mutation	4.0	5.0	44.44444444444444
UTP20	Missense_Mutation	3.0	5.0	37.5
LRFN2	Missense_Mutation	2.0	4.0	33.33333333333333
SLC16A5	Missense_Mutation	1.0	4.0	20.0
NOS3	Missense_Mutation	5.0	6.0	45.45454545454545
ENOSF1	Missense_Mutation	1.0	4.0	20.0
CDH12	Missense_Mutation	4.0	3.0	57.14285714285714
SMC4	Missense_Mutation	2.0	3.0	40.0
TTC17	Missense_Mutation	2.0	4.0	33.33333333333333
FCAMR	Missense_Mutation	3.0	2.0	60.0
C4orf21	Missense_Mutation	1.0	5.0	16.666666666666664
KIAA1109	Missense_Mutation	5.0	6.0	45.45454545454545
KIAA0922	Missense_Mutation	1.0	4.0	20.0
DDX41	Missense_Mutation	3.0	2.0	60.0
DOCK5	Missense_Mutation	11.0	11.0	50.0
TTC5	Missense_Mutation	1.0	4.0	20.0
MYO7A	Missense_Mutation	1.0	7.0	12.5
ATR	Missense_Mutation	4.0	4.0	50.0
KIF26B	Missense_Mutation	2.0	4.0	33.33333333333333
RAP2C	Missense_Mutation	2.0	6.0	25.0
NWD1	Missense_Mutation	2.0	5.0	28.57142857142857
SEC24B	Missense_Mutation	0.0	6.0	0.0
WASH3P	RNA	4.0	14.0	22.22222222222222
RGS9	Missense_Mutation	3.0	2.0	60.0
ILF3	Missense_Mutation	4.0	5.0	44.44444444444444
APOB	Silent	3.0	10.0	23.076923076923077
CHGB	Missense_Mutation	2.0	4.0	33.33333333333333
KRT79	Missense_Mutation	3.0	2.0	60.0
ALX1	Missense_Mutation	2.0	3.0	40.0
PAPOLA	Missense_Mutation	0.0	6.0	0.0
GGT1	Missense_Mutation	4.0	1.0	80.0
IL22RA1	Silent	3.0	3.0	50.0
OCRL	Missense_Mutation	3.0	3.0	50.0
EPPK1	Missense_Mutation	8.0	18.0	30.76923076923077
PLEC	Missense_Mutation	5.0	15.0	25.0
FBN1	Silent	1.0	5.0	16.666666666666664
ANO2	Missense_Mutation	6.0	5.0	54.54545454545454
PHF12	Missense_Mutation	3.0	3.0	50.0
SGSM3	Missense_Mutation	3.0	2.0	60.0
SHANK2	Missense_Mutation	0.0	10.0	0.0
RERE	Missense_Mutation	1.0	8.0	11.11111111111111
ZNF83	Silent	2.0	6.0	25.0
CYLC1	Missense_Mutation	3.0	4.0	42.857142857142854
FAM208A	Missense_Mutation	1.0	4.0	20.0
ZNF658	Missense_Mutation	1.0	4.0	20.0
FHDC1	Silent	1.0	4.0	20.0
PHRF1	Missense_Mutation	2.0	9.0	18.181818181818183
GPR158	Missense_Mutation	3.0	4.0	42.857142857142854
HSD17B7P2	RNA	11.0	25.0	30.555555555555557
MLH3	Missense_Mutation	1.0	4.0	20.0
TRPC7	Missense_Mutation	5.0	7.0	41.66666666666667
FPGT-TNNI3K	Missense_Mutation	3.0	2.0	60.0
BEND2	Missense_Mutation	1.0	4.0	20.0
GLIS3	Missense_Mutation	2.0	5.0	28.57142857142857
POLE	Silent	1.0	5.0	16.666666666666664
SCNN1G	Missense_Mutation	5.0	1.0	83.33333333333334
ADAM30	Missense_Mutation	3.0	3.0	50.0
PEG3	Missense_Mutation	8.0	3.0	72.72727272727273
UGT2B4	Missense_Mutation	8.0	3.0	72.72727272727273
COL24A1	Missense_Mutation	3.0	5.0	37.5
ASCC3	Missense_Mutation	3.0	2.0	60.0
CENPF	Missense_Mutation	5.0	4.0	55.55555555555556
PCDHA6	Missense_Mutation	1.0	4.0	20.0
EP300	Missense_Mutation	0.0	6.0	0.0
ANKRD36C	Missense_Mutation	8.0	25.0	24.242424242424242
ZNF318	Missense_Mutation	0.0	9.0	0.0
RB1	Nonsense_Mutation	9.0	3.0	75.0
ANKRD20A8P	RNA	4.0	29.0	12.121212121212121
SLC28A1	Missense_Mutation	3.0	3.0	50.0
CYP4X1	Missense_Mutation	2.0	3.0	40.0
NFATC4	Missense_Mutation	2.0	3.0	40.0
TSSC2	RNA	11.0	28.0	28.205128205128204
BCORL1	Missense_Mutation	1.0	6.0	14.285714285714285
GRM7	Missense_Mutation	4.0	1.0	80.0
PCDHGC5	Missense_Mutation	36.0	10.0	78.26086956521739
PROKR2	Missense_Mutation	7.0	3.0	70.0
KMT2A	Missense_Mutation	2.0	8.0	20.0
RBBP6	Missense_Mutation	1.0	4.0	20.0
UBC	Missense_Mutation	7.0	6.0	53.84615384615385
FASN	Silent	1.0	4.0	20.0
NEB	Missense_Mutation	7.0	16.0	30.434782608695656
C6	Silent	3.0	2.0	60.0
ATRX	Splice_Site	4.0	18.0	18.181818181818183
LAMA4	Missense_Mutation	1.0	5.0	16.666666666666664
ITIH5	Missense_Mutation	5.0	3.0	62.5
SEC16B	Missense_Mutation	2.0	5.0	28.57142857142857
OR5M3	Missense_Mutation	6.0	1.0	85.71428571428571
ZNF709	Missense_Mutation	3.0	3.0	50.0
KRTAP4-7	Missense_Mutation	5.0	5.0	50.0
NR3C2	Missense_Mutation	4.0	3.0	57.14285714285714
UBA7	Silent	1.0	4.0	20.0
PIK3CG	Silent	5.0	1.0	83.33333333333334
A2ML1	Missense_Mutation	0.0	5.0	0.0
ESYT1	Missense_Mutation	1.0	5.0	16.666666666666664
DAB2	Missense_Mutation	1.0	4.0	20.0
MYO5A	Missense_Mutation	3.0	2.0	60.0
ITPR3	Silent	1.0	5.0	16.666666666666664
CCDC132	Missense_Mutation	3.0	4.0	42.857142857142854
RYR1	Silent	6.0	4.0	60.0
RSF1	Missense_Mutation	1.0	4.0	20.0
DUX4L3	Missense_Mutation	6.0	1.0	85.71428571428571
AOX1	Missense_Mutation	5.0	4.0	55.55555555555556
FZD9	Missense_Mutation	4.0	1.0	80.0
ETV6	Missense_Mutation	1.0	4.0	20.0
DUOX1	Missense_Mutation	1.0	4.0	20.0
CCER1	Missense_Mutation	0.0	5.0	0.0
PLEKHG4B	Silent	2.0	5.0	28.57142857142857
IGF2BP1	Missense_Mutation	5.0	0.0	100.0
ERCC4	Missense_Mutation	2.0	3.0	40.0
SCN2A	Missense_Mutation	4.0	6.0	40.0
WDR96	Missense_Mutation	3.0	4.0	42.857142857142854
DHX8	Missense_Mutation	0.0	7.0	0.0
MAML3	Missense_Mutation	1.0	4.0	20.0
ROBO3	In_Frame_Del	0.0	5.0	0.0
GRM4	Missense_Mutation	3.0	2.0	60.0
ALDH1A3	Missense_Mutation	0.0	5.0	0.0
MYH11	Missense_Mutation	6.0	8.0	42.857142857142854
SV2B	Missense_Mutation	3.0	3.0	50.0
G6PC	Missense_Mutation	4.0	4.0	50.0
ITIH6	Missense_Mutation	4.0	12.0	25.0
PDE6C	Missense_Mutation	1.0	4.0	20.0
IRS4	Missense_Mutation	1.0	6.0	14.285714285714285
RASAL2	Missense_Mutation	1.0	4.0	20.0
DNM1P47	Missense_Mutation	6.0	1.0	85.71428571428571
PHLDB2	Missense_Mutation	3.0	2.0	60.0
FAM83G	Silent	2.0	3.0	40.0
SYT6	Missense_Mutation	1.0	4.0	20.0
FAT2	Silent	4.0	6.0	40.0
MMP13	Missense_Mutation	6.0	1.0	85.71428571428571
COPB1	Missense_Mutation	1.0	4.0	20.0
TSPEAR	Silent	4.0	3.0	57.14285714285714
TMEM26	Missense_Mutation	1.0	4.0	20.0
ARHGAP9	Missense_Mutation	2.0	4.0	33.33333333333333
DDX26B	Missense_Mutation	3.0	6.0	33.33333333333333
SPON1	RNA	3.0	3.0	50.0
KDM1B	Missense_Mutation	2.0	3.0	40.0
TTBK2	Missense_Mutation	1.0	6.0	14.285714285714285
EPHA6	Missense_Mutation	3.0	2.0	60.0
OR12D2	Missense_Mutation	2.0	4.0	33.33333333333333
ANO4	Missense_Mutation	2.0	3.0	40.0
IL16	Missense_Mutation	3.0	4.0	42.857142857142854
UGT2B7	Silent	3.0	2.0	60.0
POLE	Missense_Mutation	1.0	8.0	11.11111111111111
ACACA	Missense_Mutation	2.0	10.0	16.666666666666664
SLCO2A1	Missense_Mutation	1.0	4.0	20.0
PCDHA10	Missense_Mutation	1.0	5.0	16.666666666666664
VPS18	Missense_Mutation	2.0	3.0	40.0
PCDH7	Silent	3.0	3.0	50.0
COL11A2	Missense_Mutation	8.0	3.0	72.72727272727273
SGK223	Missense_Mutation	3.0	6.0	33.33333333333333
ARHGEF17	Missense_Mutation	2.0	7.0	22.22222222222222
RPTN	Missense_Mutation	1.0	5.0	16.666666666666664
ACE2	Missense_Mutation	2.0	5.0	28.57142857142857
CHRNB4	Missense_Mutation	4.0	2.0	66.66666666666666
ABCA1	Missense_Mutation	1.0	5.0	16.666666666666664
CEACAM5	Missense_Mutation	4.0	2.0	66.66666666666666
PCSK5	Missense_Mutation	1.0	13.0	7.142857142857142
SDHAP2	Silent	2.0	3.0	40.0
AC016995.3	RNA	2.0	4.0	33.33333333333333
NOTCH4	Missense_Mutation	3.0	5.0	37.5
ELFN2	Silent	1.0	4.0	20.0
PANK4	Missense_Mutation	1.0	4.0	20.0
ECT2L	Missense_Mutation	2.0	5.0	28.57142857142857
TLL1	Missense_Mutation	4.0	3.0	57.14285714285714
AHDC1	Missense_Mutation	1.0	6.0	14.285714285714285
TRPM6	Missense_Mutation	3.0	8.0	27.27272727272727
PRSS3P2	Silent	3.0	3.0	50.0
CDHR2	Missense_Mutation	2.0	3.0	40.0
GON4L	Missense_Mutation	5.0	4.0	55.55555555555556
PGR	Missense_Mutation	4.0	5.0	44.44444444444444
ADCY4	Missense_Mutation	1.0	5.0	16.666666666666664
BEND3	Silent	3.0	3.0	50.0
IRS1	Silent	3.0	4.0	42.857142857142854
C12orf40	Missense_Mutation	3.0	2.0	60.0
GATA6	Missense_Mutation	3.0	3.0	50.0
PGBD1	Missense_Mutation	3.0	2.0	60.0
TERT	Missense_Mutation	2.0	3.0	40.0
LYST	Missense_Mutation	3.0	8.0	27.27272727272727
FRMPD4	Missense_Mutation	5.0	9.0	35.714285714285715
ATF7IP2	Missense_Mutation	5.0	2.0	71.42857142857143
COL4A6	Missense_Mutation	2.0	5.0	28.57142857142857
CHD8	Missense_Mutation	3.0	3.0	50.0
DFNB59	Missense_Mutation	3.0	2.0	60.0
CD3EAP	In_Frame_Del	3.0	2.0	60.0
SULT1B1	Missense_Mutation	5.0	3.0	62.5
NLRP14	Missense_Mutation	1.0	5.0	16.666666666666664
NPAS3	Missense_Mutation	3.0	2.0	60.0
ACRC	Missense_Mutation	5.0	3.0	62.5
EDAR	Missense_Mutation	4.0	2.0	66.66666666666666
ESR2	Missense_Mutation	4.0	1.0	80.0
SLC6A10P	Missense_Mutation	4.0	1.0	80.0
DNMT3B	Missense_Mutation	2.0	3.0	40.0
MORC3	Missense_Mutation	2.0	3.0	40.0
ZPBP	Missense_Mutation	5.0	1.0	83.33333333333334
MUC2	Missense_Mutation	4.0	12.0	25.0
CCT8L2	Missense_Mutation	2.0	3.0	40.0
CHEK1	Missense_Mutation	3.0	3.0	50.0
PLIN4	Missense_Mutation	2.0	3.0	40.0
CYP4B1	Missense_Mutation	3.0	2.0	60.0
TREML2	Missense_Mutation	4.0	3.0	57.14285714285714
DNAH7	Missense_Mutation	6.0	11.0	35.294117647058826
CAD	Missense_Mutation	5.0	3.0	62.5
PCDHGA12	Missense_Mutation	1.0	5.0	16.666666666666664
FGG	Missense_Mutation	5.0	1.0	83.33333333333334
C17orf53	Missense_Mutation	2.0	4.0	33.33333333333333
GPR179	Missense_Mutation	5.0	4.0	55.55555555555556
PRDM15	Missense_Mutation	6.0	2.0	75.0
FMO3	Missense_Mutation	3.0	3.0	50.0
KIF24	Missense_Mutation	1.0	6.0	14.285714285714285
CTAGE11P	Missense_Mutation	3.0	2.0	60.0
TRPC4	Missense_Mutation	1.0	4.0	20.0
RPSA	Missense_Mutation	8.0	1.0	88.88888888888889
ASTN1	Missense_Mutation	3.0	4.0	42.857142857142854
RGPD3	Missense_Mutation	6.0	4.0	60.0
TLN2	Missense_Mutation	2.0	6.0	25.0
TG	Missense_Mutation	4.0	10.0	28.57142857142857
OR1S1	Missense_Mutation	2.0	3.0	40.0
MAP2K3	Missense_Mutation	2.0	3.0	40.0
AICDA	Missense_Mutation	4.0	1.0	80.0
CHD2	Missense_Mutation	1.0	5.0	16.666666666666664
TPR	Missense_Mutation	4.0	6.0	40.0
RTEL1	Missense_Mutation	3.0	4.0	42.857142857142854
MIB1	Missense_Mutation	3.0	2.0	60.0
ABCC9	Missense_Mutation	9.0	8.0	52.94117647058824
GK2	Missense_Mutation	3.0	2.0	60.0
AHNAK2	Missense_Mutation	20.0	15.0	57.14285714285714
NUP188	Missense_Mutation	4.0	4.0	50.0
CACNA1H	Silent	2.0	3.0	40.0
GABRG1	Missense_Mutation	2.0	5.0	28.57142857142857
KIF13A	Silent	3.0	2.0	60.0
CADPS	Missense_Mutation	3.0	8.0	27.27272727272727
RB1	Splice_Site	4.0	3.0	57.14285714285714
EMR1	Missense_Mutation	3.0	2.0	60.0
SLITRK4	Missense_Mutation	2.0	3.0	40.0
RELN	Missense_Mutation	12.0	10.0	54.54545454545454
RYR1	Missense_Mutation	10.0	6.0	62.5
HRNR	Silent	6.0	6.0	50.0
HLA-A	Missense_Mutation	2.0	8.0	20.0
ACACB	Silent	2.0	5.0	28.57142857142857
CELP	RNA	1.0	5.0	16.666666666666664
ZP2	Missense_Mutation	3.0	2.0	60.0
MAPK8IP3	Missense_Mutation	5.0	4.0	55.55555555555556
RASEF	Missense_Mutation	2.0	3.0	40.0
SYNE2	Missense_Mutation	5.0	8.0	38.46153846153847
PCDHB3	Missense_Mutation	3.0	6.0	33.33333333333333
CLIP2	Silent	1.0	5.0	16.666666666666664
CACNA1B	Missense_Mutation	6.0	7.0	46.15384615384615
PCDHA1	Missense_Mutation	2.0	5.0	28.57142857142857
COL17A1	Silent	5.0	1.0	83.33333333333334
NLRP5	Missense_Mutation	11.0	5.0	68.75
RIPK4	Missense_Mutation	5.0	5.0	50.0
STAG3L2	RNA	3.0	6.0	33.33333333333333
PTEN	Frame_Shift_Ins	2.0	5.0	28.57142857142857
FCRL5	Missense_Mutation	2.0	3.0	40.0
SPAG5	Missense_Mutation	3.0	4.0	42.857142857142854
MUC5B	Silent	7.0	13.0	35.0
CTAGE1	Missense_Mutation	2.0	3.0	40.0
SLCO4C1	Silent	2.0	5.0	28.57142857142857
FBN2	Missense_Mutation	8.0	8.0	50.0
SLCO1B1	Missense_Mutation	3.0	2.0	60.0
PCM1	Missense_Mutation	1.0	6.0	14.285714285714285
SEMA6D	Missense_Mutation	2.0	3.0	40.0
MKRN3	Missense_Mutation	3.0	2.0	60.0
CXorf23	Missense_Mutation	3.0	3.0	50.0
MLST8	Missense_Mutation	2.0	3.0	40.0
KCNQ5	Missense_Mutation	4.0	3.0	57.14285714285714
WNT2	Missense_Mutation	3.0	4.0	42.857142857142854
AE000661.37	RNA	1.0	6.0	14.285714285714285
F13A1	Missense_Mutation	6.0	1.0	85.71428571428571
BRD3	Missense_Mutation	1.0	6.0	14.285714285714285
ABCA7	Missense_Mutation	4.0	6.0	40.0
IL18RAP	Missense_Mutation	3.0	3.0	50.0
ENPP1	Missense_Mutation	1.0	4.0	20.0
NF1	Frame_Shift_Ins	4.0	4.0	50.0
RUNX2	Silent	2.0	9.0	18.181818181818183
AK7	Missense_Mutation	6.0	2.0	75.0
MAP4	Silent	0.0	5.0	0.0
TPTE2	Missense_Mutation	3.0	5.0	37.5
MPDZ	Missense_Mutation	4.0	5.0	44.44444444444444
GIGYF2	Missense_Mutation	1.0	5.0	16.666666666666664
KIAA1549L	Missense_Mutation	1.0	5.0	16.666666666666664
HCFC1	Missense_Mutation	2.0	6.0	25.0
RSPRY1	Missense_Mutation	0.0	6.0	0.0
ZNF208	Silent	3.0	2.0	60.0
LRP6	Missense_Mutation	3.0	7.0	30.0
GRHL3	Missense_Mutation	3.0	4.0	42.857142857142854
WNK1	Missense_Mutation	5.0	6.0	45.45454545454545
NEDD4	Missense_Mutation	4.0	5.0	44.44444444444444
MAGEC2	Missense_Mutation	4.0	3.0	57.14285714285714
HECTD4	Silent	2.0	4.0	33.33333333333333
PTK2B	Silent	1.0	4.0	20.0
HTR5A	Missense_Mutation	4.0	4.0	50.0
ABCC3	Missense_Mutation	1.0	4.0	20.0
TEAD1	Missense_Mutation	2.0	3.0	40.0
CCDC108	Silent	0.0	5.0	0.0
CSF2RA	Missense_Mutation	2.0	5.0	28.57142857142857
NLRP12	Silent	2.0	4.0	33.33333333333333
GLTSCR1L	Missense_Mutation	1.0	4.0	20.0
CEP63	Missense_Mutation	1.0	4.0	20.0
NR1H3	Missense_Mutation	1.0	4.0	20.0
CTR9	Missense_Mutation	1.0	4.0	20.0
SLC24A3	Missense_Mutation	2.0	3.0	40.0
TTN	Missense_Mutation	94.0	122.0	43.51851851851852
HPS5	Missense_Mutation	1.0	5.0	16.666666666666664
DUSP27	Missense_Mutation	2.0	3.0	40.0
ZNRD1-AS1	RNA	6.0	13.0	31.57894736842105
TMEM174	Missense_Mutation	5.0	0.0	100.0
KRT33A	Missense_Mutation	2.0	5.0	28.57142857142857
TNRC6A	Missense_Mutation	1.0	5.0	16.666666666666664
ZNF324B	Missense_Mutation	2.0	4.0	33.33333333333333
PSG3	Missense_Mutation	3.0	2.0	60.0
SLC5A7	Missense_Mutation	4.0	1.0	80.0
ARID1A	Silent	4.0	2.0	66.66666666666666
PRPS2	Missense_Mutation	1.0	4.0	20.0
ATP8A2	Missense_Mutation	3.0	2.0	60.0
BCOR	Missense_Mutation	3.0	6.0	33.33333333333333
TTC7A	Missense_Mutation	2.0	3.0	40.0
FMN1	Missense_Mutation	5.0	3.0	62.5
NLRP5	Silent	2.0	5.0	28.57142857142857
TJP1	Missense_Mutation	2.0	3.0	40.0
MET	Missense_Mutation	9.0	7.0	56.25
ENPP2	Missense_Mutation	3.0	4.0	42.857142857142854
ZFYVE26	Missense_Mutation	4.0	4.0	50.0
FRMD6	Missense_Mutation	1.0	5.0	16.666666666666664
MAGEB1	Missense_Mutation	4.0	1.0	80.0
WDR78	Missense_Mutation	3.0	2.0	60.0
KRTAP1-5	Missense_Mutation	4.0	7.0	36.36363636363637
HMHA1	Missense_Mutation	2.0	3.0	40.0
OR5H2	Missense_Mutation	4.0	3.0	57.14285714285714
GOLGA4	Missense_Mutation	3.0	2.0	60.0
PLXND1	Missense_Mutation	3.0	3.0	50.0
OR2T4	Missense_Mutation	5.0	1.0	83.33333333333334
ULBP3	Missense_Mutation	0.0	5.0	0.0
TRPA1	Missense_Mutation	5.0	5.0	50.0
PCDHA7	Missense_Mutation	2.0	3.0	40.0
ARHGEF6	Missense_Mutation	1.0	5.0	16.666666666666664
TAF1L	Missense_Mutation	9.0	4.0	69.23076923076923
NRCAM	Missense_Mutation	2.0	4.0	33.33333333333333
CUBN	Silent	1.0	6.0	14.285714285714285
ITGAM	Silent	3.0	3.0	50.0
DNAH11	Silent	4.0	2.0	66.66666666666666
FAT4	Silent	3.0	3.0	50.0
GABRB3	Missense_Mutation	5.0	1.0	83.33333333333334
KIAA1324	Missense_Mutation	0.0	5.0	0.0
PPP1R16B	Missense_Mutation	3.0	2.0	60.0
KCTD21	Silent	2.0	3.0	40.0
RP11-156P1.3	RNA	16.0	32.0	33.33333333333333
DPY19L2P1	RNA	2.0	6.0	25.0
ANKRD30BP2	RNA	4.0	21.0	16.0
CDC37	Missense_Mutation	1.0	4.0	20.0
ZNF536	Missense_Mutation	4.0	4.0	50.0
